"","Cp","MaxDepth","MinSplit","Acc","Sen","Spe","MCC","F1","AUC"
"903",0.01,9,7,0.744444444444444,0.620689655172414,0.80327868852459,0.420301649461929,0.610169491525424,0.711984171848502
"904",0.01,9,8,0.766666666666667,0.586206896551724,0.852459016393443,0.45229433041482,0.618181818181818,0.719332956472583
"905",0.01,9,9,0.766666666666667,0.586206896551724,0.852459016393443,0.45229433041482,0.618181818181818,0.719332956472583
"906",0.01,9,10,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"907",0.01,9,11,0.8,0.517241379310345,0.934426229508197,0.517221879402116,0.625,0.725833804409271
"908",0.01,9,12,0.8,0.517241379310345,0.934426229508197,0.517221879402116,0.625,0.725833804409271
"909",0.01,9,13,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"910",0.01,9,14,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"911",0.01,9,15,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"912",0.01,9,16,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"913",0.01,9,17,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"914",0.01,9,18,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"915",0.01,9,19,0.733333333333333,0.586206896551724,0.80327868852459,0.389485585076314,0.586206896551724,0.694742792538157
"916",0.01,9,20,0.755555555555556,0.551724137931034,0.852459016393443,0.421711498423709,0.592592592592593,0.702091577162238
"917",0.01,9,21,0.733333333333333,0.620689655172414,0.786885245901639,0.400833947282185,0.6,0.703787450537027
"918",0.01,9,22,0.733333333333333,0.620689655172414,0.786885245901639,0.400833947282185,0.6,0.703787450537027
"919",0.01,9,23,0.733333333333333,0.620689655172414,0.786885245901639,0.400833947282185,0.6,0.703787450537027
"920",0.01,9,24,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"921",0.01,9,25,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"922",0.01,9,26,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"923",0.01,9,27,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"924",0.01,9,28,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"925",0.01,9,29,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"926",0.01,9,30,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"927",0.01,9,31,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"928",0.01,9,32,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"929",0.01,10,1,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"930",0.01,10,2,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"931",0.01,10,3,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"932",0.01,10,4,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"933",0.01,10,5,0.755555555555556,0.655172413793103,0.80327868852459,0.450868697983151,0.633333333333333,0.729225551158847
"934",0.01,10,6,0.755555555555556,0.655172413793103,0.80327868852459,0.450868697983151,0.633333333333333,0.729225551158847
"935",0.01,10,7,0.744444444444444,0.620689655172414,0.80327868852459,0.420301649461929,0.610169491525424,0.711984171848502
"936",0.01,10,8,0.766666666666667,0.586206896551724,0.852459016393443,0.45229433041482,0.618181818181818,0.719332956472583
"937",0.01,10,9,0.766666666666667,0.586206896551724,0.852459016393443,0.45229433041482,0.618181818181818,0.719332956472583
"938",0.01,10,10,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"939",0.01,10,11,0.8,0.517241379310345,0.934426229508197,0.517221879402116,0.625,0.725833804409271
"940",0.01,10,12,0.8,0.517241379310345,0.934426229508197,0.517221879402116,0.625,0.725833804409271
"941",0.01,10,13,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"942",0.01,10,14,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"943",0.01,10,15,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"944",0.01,10,16,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"945",0.01,10,17,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"946",0.01,10,18,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"947",0.01,10,19,0.733333333333333,0.586206896551724,0.80327868852459,0.389485585076314,0.586206896551724,0.694742792538157
"948",0.01,10,20,0.755555555555556,0.551724137931034,0.852459016393443,0.421711498423709,0.592592592592593,0.702091577162238
"949",0.01,10,21,0.733333333333333,0.620689655172414,0.786885245901639,0.400833947282185,0.6,0.703787450537027
"950",0.01,10,22,0.733333333333333,0.620689655172414,0.786885245901639,0.400833947282185,0.6,0.703787450537027
"951",0.01,10,23,0.733333333333333,0.620689655172414,0.786885245901639,0.400833947282185,0.6,0.703787450537027
"952",0.01,10,24,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"953",0.01,10,25,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"954",0.01,10,26,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"955",0.01,10,27,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"956",0.01,10,28,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"957",0.01,10,29,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"958",0.01,10,30,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"959",0.01,10,31,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"960",0.01,10,32,0.755555555555556,0.758620689655172,0.754098360655738,0.486972653690245,0.666666666666667,0.756359525155455
"961",0.01,11,1,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"962",0.01,11,2,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"963",0.01,11,3,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"964",0.01,11,4,0.777777777777778,0.586206896551724,0.868852459016393,0.474794064658861,0.62962962962963,0.727529677784059
"965",0.01,11,5,0.755555555555556,0.655172413793103,0.80327868852459,0.450868697983151,0.633333333333333,0.729225551158847
"966",0.01,11,6,0.755555555555556,0.655172413793103,0.80327868852459,0.450868697983151,0.633333333333333,0.729225551158847
"967",0.01,11,7,0.744444444444444,0.620689655172414,0.80327868852459,0.420301649461929,0.610169491525424,0.711984171848502
"968",0.01,11,8,0.766666666666667,0.586206896551724,0.852459016393443,0.45229433041482,0.618181818181818,0.719332956472583
"969",0.01,11,9,0.766666666666667,0.586206896551724,0.852459016393443,0.45229433041482,0.618181818181818,0.719332956472583
"970",0.01,11,10,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"971",0.01,11,11,0.8,0.517241379310345,0.934426229508197,0.517221879402116,0.625,0.725833804409271
"972",0.01,11,12,0.8,0.517241379310345,0.934426229508197,0.517221879402116,0.625,0.725833804409271
"973",0.01,11,13,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"974",0.01,11,14,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"975",0.01,11,15,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"976",0.01,11,16,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"977",0.01,11,17,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"978",0.01,11,18,0.744444444444444,0.517241379310345,0.852459016393443,0.390693551593174,0.566037735849057,0.684850197851894
"979",0.01,11,19,0.733333333333333,0.586206896551724,0.80327868852459,0.389485585076314,0.586206896551724,0.694742792538157
